Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa];S23 [Pa]
0.00E+00;0;0;0;0;0.00E+00;0.00E+00;0;0;0;0;0
0.0001;162.081;1.12;-1.8;0.56;8.32E-04;1.55E-05;0.228050171;111.3996223;0.003006834;1.84E+02;558476
0.0002;324.162;2.24;-3.59371;1.12;1.66E-03;3.11E-05;3.65E-01;117.0139269;0.003735763;2.16E+02;1.12E+06
0.0003;486.243;3.36;-5.39053;1.68;2.50E-03;4.66E-05;6.84E-01;120.8552931;0.004555809;2.29E+02;1.68E+06
0.0004;648.325;4.48;-7.18732;2.24;3.33E-03;6.22E-05;1.09E+00;123.8101903;0.005831435;2.37E+02;2.23E+06
0.0005;810.408;5.6;-8.98409;2.8;4.16E-03;7.77E-05;1.46E+00;126.174108;0.007471526;2.41E+02;2.79E+06
0.0006;972.49;6.72;-10.7808;3.35;4.99E-03;9.33E-05;1.92E+00;128.242536;0.008747153;2.44E+02;3.35E+06
0.0007;1134.57;7.84;-12.5775;3.91;5.82E-03;1.09E-04;2.46E+00;129.4244949;0.011116173;2.46E+02;3.91E+06
0.0008;1296.66;8.96;-14.3742;4.47;6.66E-03;1.24E-04;3.10E+00;130.6064537;0.012938497;2.49E+02;4.47E+06
0.0009;1458.74;10.07;-16.1709;5.03;7.49E-03;1.40E-04;3.56E+00;130.9019434;0.014851936;2.50E+02;5.03E+06
0.001;1620.82;11.19;-17.9675;5.59;8.32E-03;1.55E-04;4.01E+00;130.0154743;0.017494305;2.53E+02;5.58E+06
0.0011;1782.91;12.31;-19.7642;6.15;9.15E-03;1.71E-04;4.33E+00;128.242536;0.019863326;2.55E+02;6.14E+06
0.0012;1944.99;13.43;-21.5607;6.71;9.98E-03;1.87E-04;4.65E+00;125.5831286;0.021685649;2.56E+02;6.70E+06
0.0013;2107.08;14.55;-23.3573;7.27;1.08E-02;2.02E-04;4.83E+00;122.6282314;0.024236902;2.58E+02;7.26E+06
0.0014;2269.16;15.67;-25.1539;7.83;1.16E-02;2.18E-04;4.97E+00;119.6733343;0.026788155;2.59E+02;7.82E+06
0.0015;2431.25;16.79;-26.9504;8.39;1.25E-02;2.33E-04;5.15E+00;115.5364783;0.029339408;2.61E+02;8.38E+06
0.0016;2593.34;17.91;-28.7469;8.94;1.33E-02;2.49E-04;5.25E+00;111.9906017;0.033166287;2.62E+02;8.94E+06
0.0017;2755.42;19.03;-30.5433;9.5;1.41E-02;2.64E-04;;;0.035535308;2.63E+02;9.49E+06
0.0018;2917.51;20.15;-32.3398;10.06;1.50E-02;2.80E-04;;;3.81E-02;2.64E+02;1.01E+07
0.0019;3079.6;21.27;-34.1362;10.62;1.58E-02;2.95E-04;;;4.06E-02;2.64E+02;1.06E+07
0.002;3241.69;22.39;-35.9326;11.18;1.66E-02;3.11E-04;;;4.28E-02;2.65E+02;1.12E+07
0.0021;3403.77;23.51;-37.7289;11.74;1.75E-02;3.27E-04;;;4.61E-02;2.64E+02;1.17E+07
0.0022;3565.86;24.63;-39.5253;12.3;1.83E-02;3.42E-04;;;4.94E-02;2.65E+02;1.23E+07
0.0023;3727.95;25.75;-41.3216;12.86;1.91E-02;3.58E-04;;;5.27E-02;2.64E+02;1.28E+07
0.0024;3890.04;26.87;-43.1179;13.42;2.00E-02;3.73E-04;;;5.67E-02;2.63E+02;1.34E+07
0.0025;4052.13;27.99;-44.9141;13.97;2.08E-02;3.89E-04;;;0.060501139;2.60E+02;1.40E+07
